,LATITUDE,LONGITUDE,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,DAYS_WITH_VALID_SUNSHINE,Ensemencee,Recoltee,Rendement,Production_boiseaux,Production_tonnes,Annee,Region
0,46.71866666666667,-81.89300000000001,5.04989605734767,-8.266666666666667,21.866666666666664,968.2666666666665,366.0,133.0,268.3,366.0,0.0,100.0,0.0,0.0,0.0,0.0,2004,Sudbury
0,45.3395,-80.035,7.264032258064516,-7.05,22.8,899.45,358.5,137.5,169.65,183.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,Parry Sound
0,45.032,-78.531,6.439301075268817,-9.0,24.25,1069.8,366.0,147.0,277.8,366.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,Haliburton
0,50.7876,-91.373,2.474981993514252,-11.06,19.64,803.88,354.8,119.6,138.84,158.6,0.0,0.0,0.0,0.0,0.0,0.0,2004,Kenora
0,45.786500000000004,-82.27449999999999,7.720752688172043,-4.2,23.675,772.7,357.0,110.0,131.0,182.5,0.0,0.0,0.0,0.0,0.0,0.0,2005,Manitoulin
0,48.87809090909091,-88.67390909090909,5.0014727506662995,-8.18,19.470000000000002,581.5,255.63636363636363,75.0,90.97272727272727,143.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,2008,Thunder Bay
0,45.1485,-79.34325,7.066992955135336,-8.383333333333333,25.05,1105.425,284.5,131.0,331.15,196.25,0.0,0.0,0.0,0.0,0.0,0.0,2008,Muskoka
0,45.032,-78.531,5.74741935483871,-11.5,24.75,1340.7,364.0,166.0,408.3,364.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,Haliburton
0,44.5255,-77.0125,8.186490015360983,-7.625,25.5,1149.8,360.0,146.5,324.65,360.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,Lennox And Addington
0,48.78072727272727,-88.49554545454545,3.093972197398717,-6.7700000000000005,14.784999999999997,434.24545454545455,241.1818181818182,70.9090909090909,95.0090909090909,115.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,Thunder Bay
